Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Amelia County Public Schools,Amelia County Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amelon Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst County High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Amherst Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Central Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Amherst County Public Schools,Elon Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Madison Heights Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Amherst County Public Schools,Monelison Middle,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Amherst County Public Schools,Temperance Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox County High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Middle,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Appomattox County Public Schools,Appomattox Primary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Abingdon Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Alice West Fleet Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Community High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,Low Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Arlington County Public Schools,Arlington Science Focus School,Low Poverty,Non-Title I,0,0,100,1
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Arlington Traditional,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Ashlawn Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Arlington County Public Schools,Barcroft Elementary,All Schools,All Schools,0,0,0,0
