Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Botetourt County Public Schools,Buchanan Elementary,294.39,1637,9490,11126,36,3626,3662,14788,225049,4353423,1673,13116
2023 - 2024,SCH,Botetourt County Public Schools,Central Academy Middle,361.32,872,11781,12653,36,3626,3662,16314,272367,5894686,908,15407
2023 - 2024,SCH,Botetourt County Public Schools,Cloverdale Elementary,243.14,1183,10666,11850,36,3626,3662,15511,205097,3771402,1219,14292
2023 - 2024,SCH,Botetourt County Public Schools,Colonial Elementary,460.45,1058,8611,9669,36,3626,3662,13330,254027,6137994,1094,12237
2023 - 2024,SCH,Botetourt County Public Schools,Eagle Rock Elementary,121.17,2203,12961,15163,36,3626,3662,18825,219202,2281039,2239,16587
2023 - 2024,SCH,Botetourt County Public Schools,Greenfield Elementary,437.58,1112,10248,11359,36,3626,3662,15021,241585,6572926,1148,13874
2023 - 2024,SCH,Botetourt County Public Schools,James River High,449.55,534,9936,10470,36,3626,3662,14132,299552,6352928,570,13562
2023 - 2024,SCH,Botetourt County Public Schools,Lord Botetourt High,957.01,197,9175,9372,36,3626,3662,13034,436766,12473631,233,12801
2023 - 2024,SCH,Botetourt County Public Schools,Read Mountain Middle,660.68,603,9560,10162,36,3626,3662,13824,328464,9133302,639,13186
2023 - 2024,SCH,Botetourt County Public Schools,Troutville Elementary,252.94,616,10638,11254,36,3626,3662,14916,219600,3772847,652,14264
2023 - 2024,SCH,Bristol City Public Schools,Virginia High,621.84,1499,13009,14508,60,3463,3523,18031,652638,11212363,1559,16472
2023 - 2024,SCH,Bristol City Public Schools,Virginia Middle,454.82,1751,9555,11306,60,3463,3523,14829,18661,6744693,1811,13018
2023 - 2024,SCH,Brunswick County Public Schools,Brunswick High,417.71,174,8368,8542,1862,7750,9612,18154,0,7583179,2036,16118
2023 - 2024,SCH,Brunswick County Public Schools,James S. Russell Middle,289.81,327,11434,11761,1862,7750,9612,21373,0,6193986,2189,19184
2023 - 2024,SCH,Brunswick County Public Schools,Meherrin Powellton Elementary,183.13,2116,8735,10851,1862,7750,9612,20463,0,3747358,3978,16485
2023 - 2024,SCH,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,180.72,1956,8317,10272,1862,7750,9612,19884,0,3593479,3818,16067
2023 - 2024,SCH,Brunswick County Public Schools,Totaro Elementary,302.84,1661,6325,7986,1862,7750,9612,17598,0,5329391,3523,14075
2023 - 2024,SCH,Buchanan County Public Schools,Council Elementary/Middle,194.45,3923,6813,10736,877,5364,6240,16977,0,3301111,4800,12177
2023 - 2024,SCH,Buchanan County Public Schools,Council High ,108.38,798,10821,11620,877,5364,6240,17860,0,1935682,1675,16185
2023 - 2024,SCH,Buchanan County Public Schools,Grundy High,346.48,1447,6842,8289,877,5364,6240,14529,0,5034081,2324,12206
2023 - 2024,SCH,Buchanan County Public Schools,Hurley Elementary/Middle,321.16,2216,8514,10730,877,5364,6240,16971,0,5450330,3093,13878
2023 - 2024,SCH,Buchanan County Public Schools,Hurley High,217.28,1539,7016,8555,877,5364,6240,14795,11339,3214718,2416,12380
2023 - 2024,SCH,Buchanan County Public Schools,Riverview Elementary/Middle,721.5,2461,6056,8517,877,5364,6240,14757,0,10647226,3338,11420
2023 - 2024,SCH,Buchanan County Public Schools,Twin Valley Elementary/Middle,265.53,3532,7117,10649,877,5364,6240,16889,0,4484564,4409,12481
2023 - 2024,SCH,Buchanan County Public Schools,Twin Valley High,184.44,1498,7603,9101,877,5364,6240,15342,0,2829661,2375,12967
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham Co Elementary,389.94,2073,9374,11447,206,3503,3709,15156,624258,5909803,2279,12877
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham Co Primary,344.02,2522,11073,13595,206,3503,3709,17304,381236,5952954,2728,14576
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham County High,646.48,731,11581,12312,206,3503,3709,16021,634046,10357411,937,15084
2023 - 2024,SCH,Buckingham County Public Schools,Buckingham County Middle,412.61,2317,11068,13386,206,3503,3709,17095,598911,7053408,2523,14571
2023 - 2024,SCH,Buena Vista City Public Schools,Enderly Heights Elementary,235.67,1512,8550,10062,433,5520,5953,16015,178179,3774297,1945,14070
2023 - 2024,SCH,Buena Vista City Public Schools,F.W. Kling Jr. Elementary,175.45,1785,5223,7008,433,5520,5953,12961,87398,2273973,2218,10743
