Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Gloucester County Public Schools,Gloucester High,1479.19,152,7948,8100,710,5233,5943,14043,27305722,20771527,862,13181
2023 - 2024,SCH,Gloucester County Public Schools,Page Middle,555.16,334,7000,7334,710,5233,5943,13276,425296,7370528,1044,12233
2023 - 2024,SCH,Gloucester County Public Schools,Peasley Middle,586.12,308,7060,7368,710,5233,5943,13311,369650,7801577,1018,12293
2023 - 2024,SCH,Gloucester County Public Schools,Petsworth Elementary,389.74,39,10720,10759,710,5233,5943,16702,327491,6509458,749,15953
2023 - 2024,SCH,Goochland County Public Schools,Byrd Elementary,316.49,1269,12692,13960,98,4050,4148,18109,0,5731225,1367,16742
2023 - 2024,SCH,Goochland County Public Schools,Goochland Elementary,358.3,801,12543,13344,98,4050,4148,17492,2564,6267356,899,16593
2023 - 2024,SCH,Goochland County Public Schools,Goochland High,820.75,549,10303,10852,98,4050,4148,15000,271957,12311463,647,14353
2023 - 2024,SCH,Goochland County Public Schools,Goochland Middle,602.06,388,9799,10187,98,4050,4148,14335,7529,8630428,486,13849
2023 - 2024,SCH,Goochland County Public Schools,Randolph Elementary,460.65,461,9914,10374,98,4050,4148,14523,1286,6689817,559,13964
2023 - 2024,SCH,Grayson County Public Schools,Fairview Elementary,144.61,1926,9518,11444,311,4381,4692,16136,37292,2333444,2237,13899
2023 - 2024,SCH,Grayson County Public Schools,Fries Elementary,234.45,2176,11207,13383,311,4381,4692,18075,6704,4237767,2487,15588
2023 - 2024,SCH,Grayson County Public Schools,Grayson County High,456.78,1091,8497,9588,311,4381,4692,14280,149304,6522979,1402,12878
2023 - 2024,SCH,Grayson County Public Schools,Grayson Highlands,143.2,1203,10532,11735,311,4381,4692,16427,0,2352360,1514,14913
2023 - 2024,SCH,Grayson County Public Schools,Independence Elementary,299.77,1874,6777,8651,311,4381,4692,13343,7579,3999747,2185,11158
2023 - 2024,SCH,Grayson County Public Schools,Independence Middle,288.17,123,7794,7917,311,4381,4692,12609,112296,3633596,434,12175
2023 - 2024,SCH,Greene County Public Schools,Nathanael Greene Elementary,335.35,1124,8764,9888,457,4414,4871,14758,0,4949167,1581,13178
2023 - 2024,SCH,Greene County Public Schools,Nathanael Greene Primary,374.35,808,8952,9759,457,4414,4871,14630,0,5476676,1265,13366
2023 - 2024,SCH,Greene County Public Schools,Ruckersville Elementary,513.56,1003,8366,9369,457,4414,4871,14240,0,7312972,1460,12780
2023 - 2024,SCH,Greene County Public Schools,William Monroe High,974.09,404,8064,8468,457,4414,4871,13339,0,12993280,861,12478
2023 - 2024,SCH,Greene County Public Schools,William Monroe Middle,629.04,173,8919,9092,457,4414,4871,13963,1720,8783156,630,13333
2023 - 2024,SCH,Greensville County Public Schools,Edward W. Wyatt Middle,434.16,2160,15275,17436,37,3552,3589,21024,0,9127997,2197,18827
2023 - 2024,SCH,Greensville County Public Schools,Greensville County High,585.1,0,11383,11383,37,3552,3589,14972,274328,8759987,37,14935
2023 - 2024,SCH,Greensville County Public Schools,Greensville Elementary,1001.25,6031,10383,16414,37,3552,3589,20003,0,20027595,6068,13935
2023 - 2024,SCH,Halifax County Public Schools,Clays Mill Elementary,230.76,706,9610,10316,869,4882,5751,16067,0,3707597,1575,14492
2023 - 2024,SCH,Halifax County Public Schools,Cluster Springs Elementary,536.17,1502,8021,9523,869,4882,5751,15273,0,8189097,2371,12903
2023 - 2024,SCH,Halifax County Public Schools,Halifax County High,1314.53,928,9628,10556,869,4882,5751,16307,241968,21435409,1797,14510
2023 - 2024,SCH,Halifax County Public Schools,Halifax County Middle,857.12,289,8975,9264,869,4882,5751,15014,54443,12869207,1158,13857
2023 - 2024,SCH,Halifax County Public Schools,Meadville Elementary,165.37,25,9755,9780,869,4882,5751,15530,0,2568222,894,14637
2023 - 2024,SCH,Halifax County Public Schools,Scottsburg Elementary,185.23,1408,11843,13251,869,4882,5751,19002,0,3519737,2277,16725
2023 - 2024,SCH,Halifax County Public Schools,Sinai Elementary,251.14,2676,9308,11984,869,4882,5751,17735,0,4453898,3545,14190
2023 - 2024,SCH,Halifax County Public Schools,South Boston Elementary,691.65,1416,7653,9069,869,4882,5751,14819,0,10249653,2285,12535
2023 - 2024,SCH,Halifax County Public Schools,Sydnor Jennings Elementary,177.77,576,12643,13219,869,4882,5751,18969,0,3372160,1445,17525
2023 - 2024,SCH,Hampton City Public Schools,A.W.E. Bassette Elementary,495.25,1410,7880,9290,452,3664,4116,13406,415024,6639376,1862,11544
2023 - 2024,SCH,Hampton City Public Schools,Aberdeen Elementary,464.08,1686,7077,8764,452,3664,4116,12879,364413,5977080,2138,10741
2023 - 2024,SCH,Hampton City Public Schools,Albert W. Patrick III Elementary,394.29,1479,8911,10389,452,3664,4116,14505,328192,5719165,1931,12575
2023 - 2024,SCH,Hampton City Public Schools,Alfred S. Forrest Elementary,538.61,1364,8065,9429,452,3664,4116,13545,391295,7295417,1816,11729
2023 - 2024,SCH,Hampton City Public Schools,Armstrong Elementary,273.83,607,9987,10594,452,3664,4116,14710,162064,4027974,1059,13651
2023 - 2024,SCH,Hampton City Public Schools,Barron Elementary,375.64,647,9251,9898,452,3664,4116,14014,249646,5264246,1099,12915
2023 - 2024,SCH,Hampton City Public Schools,Benjamin Syms Middle,863.3,904,8326,9229,452,3664,4116,13345,725918,11520957,1356,11990
2023 - 2024,SCH,Hampton City Public Schools,Bethel High,1761.15,692,9408,10099,452,3664,4116,14215,812110,25034759,1144,13072
2023 - 2024,SCH,Hampton City Public Schools,C. Alton Lindsay Middle,678.42,1056,8615,9671,452,3664,4116,13787,449822,9353602,1508,12279
2023 - 2024,SCH,Hampton City Public Schools,Captain John Smith Elementary,383.18,2025,9379,11404,452,3664,4116,15520,367086,5946986,2477,13043
2023 - 2024,SCH,Hampton City Public Schools,Cesar Tarrant Middle,701.26,936,8315,9251,452,3664,4116,13367,375672,9373554,1388,11979
2023 - 2024,SCH,Hampton City Public Schools,Christopher C. Kraft Elementary ,455.82,1237,8245,9482,452,3664,4116,13598,281418,6198041,1689,11909
2023 - 2024,SCH,Hampton City Public Schools,Francis Asbury Elementary,428.05,492,8562,9054,452,3664,4116,13170,269743,5637495,944,12226
2023 - 2024,SCH,Hampton City Public Schools,Francis W. Jones Magnet Middle,589.51,450,10466,10916,452,3664,4116,15032,128844,8861257,902,14130
2023 - 2024,SCH,Hampton City Public Schools,George P. Phenix Elementary,1548.07,437,7480,7917,452,3664,4116,12033,509918,18627518,889,11144
2023 - 2024,SCH,Hampton City Public Schools,Hampton High,1237.15,657,10564,11221,452,3664,4116,15337,419476,18974125,1109,14228
2023 - 2024,SCH,Hampton City Public Schools,Hunter B. Andrews,1116.51,1099,7526,8626,452,3664,4116,12742,376870,14226017,1551,11190
2023 - 2024,SCH,Hampton City Public Schools,Jane H. Bryan Elementary,358.52,2030,8441,10471,452,3664,4116,14587,298808,5229658,2482,12105
2023 - 2024,SCH,Hampton City Public Schools,Kecoughtan High,1496.76,600,9603,10203,452,3664,4116,14319,485849,21431428,1052,13267
2023 - 2024,SCH,Hampton City Public Schools,Luther W. Machen Elementary ,441.65,1582,8471,10053,452,3664,4116,14169,323580,6257793,2034,12135
2023 - 2024,SCH,Hampton City Public Schools,Mary S. Peake Elementary,418.72,1690,8469,10159,452,3664,4116,14275,391256,5977201,2142,12133
2023 - 2024,SCH,Hampton City Public Schools,Mary T. Christian Elementary,294.68,2425,11045,13470,452,3664,4116,17586,419759,5182225,2877,14709
2023 - 2024,SCH,Hampton City Public Schools,Mary W. Jackson Elementary,331.26,587,9577,10164,452,3664,4116,14280,226103,4730335,1039,13241
2023 - 2024,SCH,Hampton City Public Schools,Paul Burbank Elementary,428.33,674,8047,8721,452,3664,4116,12837,261914,5498469,1126,11711
2023 - 2024,SCH,Hampton City Public Schools,Phillips Elementary,437.22,545,9066,9611,452,3664,4116,13727,277281,6001727,997,12730
2023 - 2024,SCH,Hampton City Public Schools,Phoebus High,1373.97,588,9956,10544,452,3664,4116,14660,162566,20141960,1040,13620
2023 - 2024,SCH,Hampton City Public Schools,Samuel P. Langley Elementary,481.92,479,8674,9153,452,3664,4116,13269,275268,6394532,931,12338
2023 - 2024,SCH,Hampton City Public Schools,Thomas Eaton Middle,571.21,621,10285,10906,452,3664,4116,15022,194897,8580454,1073,13949
2023 - 2024,SCH,Hampton City Public Schools,William Mason Cooper Elementary,376.56,304,7943,8247,452,3664,4116,12363,199706,4655257,756,11607
2023 - 2024,SCH,Hanover County Public Schools,Atlee High,1461.58,167,9806,9974,57,2856,2913,12887,650297,18835574,224,12662
2023 - 2024,SCH,Hanover County Public Schools,Battlefield Park Elementary,371.22,382,12569,12952,57,2856,2913,15865,193566,5889334,439,15425
2023 - 2024,SCH,Hanover County Public Schools,Beaverdam Elementary,311.1,172,12527,12700,57,2856,2913,15613,186348,4857176,229,15383
2023 - 2024,SCH,Hanover County Public Schools,Bell Creek Middle,929.96,335,10668,11003,57,2856,2913,13916,389810,12941213,392,13524
2023 - 2024,SCH,Hanover County Public Schools,Chickahominy Middle,1126.22,136,9577,9713,57,2856,2913,12626,481323,14219345,193,12433
2023 - 2024,SCH,Hanover County Public Schools,Cold Harbor Elementary,500.83,903,11340,12242,57,2856,2913,15156,283699,7590352,960,14196
2023 - 2024,SCH,Hanover County Public Schools,Cool Spring Elementary,814.38,373,9402,9775,57,2856,2913,12688,349172,10332735,430,12258
2023 - 2024,SCH,Hanover County Public Schools,Elmont Elementary,372.06,1643,13078,14720,57,2856,2913,17634,219877,6560780,1700,15934
2023 - 2024,SCH,Hanover County Public Schools,Hanover High,1317.42,242,10683,10925,57,2856,2913,13838,647441,18230563,299,13539
2023 - 2024,SCH,Hanover County Public Schools,Kersey Creek Elementary,676.78,469,9755,10224,57,2856,2913,13137,238597,8891029,526,12611
2023 - 2024,SCH,Hanover County Public Schools,Laurel Meadow Elementary,558.42,545,10995,11541,57,2856,2913,14454,248485,8071384,602,13851
2023 - 2024,SCH,Hanover County Public Schools,Liberty Middle,914.61,353,11347,11699,57,2856,2913,14612,416376,13364562,410,14203
2023 - 2024,SCH,Hanover County Public Schools,Mechanicsville Elementary,586.05,1347,10852,12199,57,2856,2913,15112,428096,8856552,1404,13708
2023 - 2024,SCH,Hanover County Public Schools,Mechanicsville High,1290.92,352,10684,11036,57,2856,2913,13949,546043,18007515,409,13540
2023 - 2024,SCH,Hanover County Public Schools,Oak Knoll Middle,874.63,334,10818,11152,57,2856,2913,14065,320404,12301467,391,13674
2023 - 2024,SCH,Hanover County Public Schools,Patrick Henry High,1284.9,388,10874,11262,57,2856,2913,14175,455020,18213772,445,13730
2023 - 2024,SCH,Hanover County Public Schools,Pearson's Corner Elementary,576.46,294,9664,9958,57,2856,2913,12871,238917,7419637,351,12520
2023 - 2024,SCH,Hanover County Public Schools,Pole Green Elementary,536.55,645,10412,11057,57,2856,2913,13970,203608,7495542,702,13268
2023 - 2024,SCH,Hanover County Public Schools,Rural Point Elementary,650.01,456,9547,10002,57,2856,2913,12916,234875,8395321,513,12403
2023 - 2024,SCH,Hanover County Public Schools,South Anna Elementary,446.46,170,10623,10793,57,2856,2913,13706,194095,6119129,227,13479
2023 - 2024,SCH,Hanover County Public Schools,Washington-Henry Elementary ,404.75,156,12014,12171,57,2856,2913,15084,217400,6105142,213,14870
2023 - 2024,SCH,Harrisonburg City Public Schools,Bluestone Elementary,560.66,1153,9428,10581,403,4694,5097,15677,66454,8789482,1556,14122
2023 - 2024,SCH,Harrisonburg City Public Schools,Harrisonburg High,1957.33,503,9455,9958,403,4694,5097,15054,268992,29466164,906,14149
2023 - 2024,SCH,Harrisonburg City Public Schools,Keister Elementary,508.86,1498,8302,9800,403,4694,5097,14896,69741,7580123,1901,12996
2023 - 2024,SCH,Harrisonburg City Public Schools,Skyline Middle,727.16,1176,10666,11842,403,4694,5097,16939,10504,12317318,1579,15360
2023 - 2024,SCH,Harrisonburg City Public Schools,Smithland Elementary,572.13,1165,9481,10646,403,4694,5097,15743,74309,9006871,1568,14175
2023 - 2024,SCH,Harrisonburg City Public Schools,Spotswood Elementary,472.83,2079,9333,11412,403,4694,5097,16508,178553,7805523,2482,14027
2023 - 2024,SCH,Harrisonburg City Public Schools,Stone Spring Elementary,549.29,1276,9034,10309,403,4694,5097,15406,110752,8462233,1679,13728
2023 - 2024,SCH,Harrisonburg City Public Schools,Thomas Harrison Middle,718.15,1238,10768,12006,403,4694,5097,17102,842,12282119,1641,15462
2023 - 2024,SCH,Harrisonburg City Public Schools,Waterman Elementary,571.51,1232,8907,10139,403,4694,5097,15235,102373,8707193,1635,13601
2023 - 2024,SCH,Henrico County Public Schools,Anthony P. Mehfoud Elementary,340.2,1400,9439,10839,221,3258,3480,14318,27800,4871151,1621,12697
2023 - 2024,SCH,Henrico County Public Schools,Arthur Ashe Jr. Elementary ,459.33,1078,10360,11438,221,3258,3480,14918,50380,6852130,1299,13618
2023 - 2024,SCH,Henrico County Public Schools,Brookland Middle,1024.31,593,8769,9362,221,3258,3480,12841,128669,13153628,814,12027
2023 - 2024,SCH,Henrico County Public Schools,Cashell Donahoe Elementary,540.37,1092,8470,9561,221,3258,3480,13041,53777,7046840,1313,11728
2023 - 2024,SCH,Henrico County Public Schools,Chamberlayne Elementary,351.9,824,10828,11652,221,3258,3480,15132,32210,5324830,1045,14086
2023 - 2024,SCH,Henrico County Public Schools,Charles M. Johnson Elementary,401.17,1715,11388,13104,221,3258,3480,16583,40480,6652710,1936,14646
2023 - 2024,SCH,Henrico County Public Schools,Colonial Trail Elementary,703.75,469,8817,9286,221,3258,3480,12766,68470,8983919,690,12075
2023 - 2024,SCH,Henrico County Public Schools,Crestview Elementary,382.2,1054,10846,11900,221,3258,3480,15379,32441,5878035,1275,14104
2023 - 2024,SCH,Henrico County Public Schools,David A. Kaechele Elementary ,504.72,893,9861,10753,221,3258,3480,14233,48568,7183557,1114,13119
2023 - 2024,SCH,Henrico County Public Schools,Deep Run High,1869.16,374,8038,8412,221,3258,3480,11892,212526,22227258,595,11296
2023 - 2024,SCH,Henrico County Public Schools,Douglas S. Freeman High,1840.02,269,8262,8530,221,3258,3480,12010,220459,22098807,490,11520
2023 - 2024,SCH,Henrico County Public Schools,Dumbarton Elementary,633.77,1097,9307,10403,221,3258,3480,13883,84790,8798627,1318,12565
2023 - 2024,SCH,Henrico County Public Schools,Echo Lake Elementary,527.66,770,9835,10604,221,3258,3480,14084,51553,7431446,991,13093
2023 - 2024,SCH,Henrico County Public Schools,Elizabeth Holladay Elementary,823.38,1079,7824,8903,221,3258,3480,12383,66903,10195782,1300,11082
2023 - 2024,SCH,Henrico County Public Schools,Elko Middle,691.48,751,12322,13072,221,3258,3480,16552,94641,11445401,972,15580
2023 - 2024,SCH,Henrico County Public Schools,Fair Oaks Elementary,351.31,1286,10623,11909,221,3258,3480,15389,52111,5406154,1507,13881
2023 - 2024,SCH,Henrico County Public Schools,Fairfield Middle,877.61,655,10038,10693,221,3258,3480,14173,115986,12438159,876,13296
2023 - 2024,SCH,Henrico County Public Schools,Gayton Elementary,596.67,645,8691,9336,221,3258,3480,12816,54858,7646725,866,11949
2023 - 2024,SCH,Henrico County Public Schools,George F. Baker Elementary,448.68,1049,9159,10209,221,3258,3480,13688,59511,6141601,1270,12417
2023 - 2024,SCH,Henrico County Public Schools,George H. Moody Middle,1096.74,565,8246,8810,221,3258,3480,12290,133206,13479005,786,11504
2023 - 2024,SCH,Henrico County Public Schools,Glen Allen Elementary,577.51,916,9737,10653,221,3258,3480,14132,57024,8161470,1137,12995
2023 - 2024,SCH,Henrico County Public Schools,Glen Allen High,1868.75,366,8503,8869,221,3258,3480,12349,209060,23076501,587,11761
2023 - 2024,SCH,Henrico County Public Schools,Glen Lea Elementary,443.78,1602,9469,11071,221,3258,3480,14551,45306,6457399,1823,12727
2023 - 2024,SCH,Henrico County Public Schools,Greenwood Elementary ,629.55,670,9283,9954,221,3258,3480,13433,57024,8456834,891,12541
2023 - 2024,SCH,Henrico County Public Schools,Harold Macon Ratcliffe Elementary,392.66,1506,11010,12516,221,3258,3480,15995,44020,6280664,1727,14268
2023 - 2024,SCH,Henrico County Public Schools,Harvie Elementary,523.31,1229,9631,10860,221,3258,3480,14340,50669,7504305,1450,12889
2023 - 2024,SCH,Henrico County Public Schools,Henrico High,1276.94,594,10107,10700,221,3258,3480,14180,146952,18107093,815,13365
2023 - 2024,SCH,Henrico County Public Schools,Henrico Virtual Academy,643.72,1409,13450,14859,221,3258,3480,18338,150906,11804696,1630,16708
2023 - 2024,SCH,Henrico County Public Schools,Henry D. Ward Elementary,500.29,1433,8314,9747,221,3258,3480,13227,45735,6617215,1654,11572
2023 - 2024,SCH,Henrico County Public Schools,Hermitage High,1665.68,592,8657,9249,221,3258,3480,12729,139619,21202305,813,11915
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs Elementary,475.99,731,8940,9671,221,3258,3480,13151,61978,6259634,952,12198
2023 - 2024,SCH,Henrico County Public Schools,Highland Springs High,1953.88,515,8362,8877,221,3258,3480,12357,207398,24143399,736,11620
2023 - 2024,SCH,Henrico County Public Schools,Holman Middle ,869.05,641,10031,10672,221,3258,3480,14152,109180,12298393,862,13289
2023 - 2024,SCH,Henrico County Public Schools,Hungary Creek Middle ,854.23,647,10177,10824,221,3258,3480,14303,107427,12218422,868,13435
2023 - 2024,SCH,Henrico County Public Schools,Jackson Davis Elementary,532.72,649,9374,10023,221,3258,3480,13502,51536,7192976,870,12632
2023 - 2024,SCH,Henrico County Public Schools,Jacob L. Adams Elementary,465.21,1602,9326,10928,221,3258,3480,14408,57835,6702640,1823,12584
2023 - 2024,SCH,Henrico County Public Schools,John Randolph Tucker High,2019.36,494,8268,8762,221,3258,3480,12242,219698,24720495,715,11526
2023 - 2024,SCH,Henrico County Public Schools,John Rolfe Middle,682.73,775,12556,13330,221,3258,3480,16810,98456,11476603,996,15814
2023 - 2024,SCH,Henrico County Public Schools,L. Douglas Wilder Middle,773.8,687,11096,11783,221,3258,3480,15263,99487,11810265,908,14354
2023 - 2024,SCH,Henrico County Public Schools,Laburnum Elementary,465.74,1410,9749,11159,221,3258,3480,14639,44930,6817861,1631,13007
2023 - 2024,SCH,Henrico County Public Schools,Lakeside Elementary,404.8,1415,11415,12830,221,3258,3480,16310,43517,6602118,1636,14673
2023 - 2024,SCH,Henrico County Public Schools,Longdale Elementary,471.28,1579,10120,11699,221,3258,3480,15178,45550,7153178,1800,13378
2023 - 2024,SCH,Henrico County Public Schools,Maude Trevvett Elementary,546.33,331,8785,9116,221,3258,3480,12595,57821,6881144,552,12043
2023 - 2024,SCH,Henrico County Public Schools,Maybeury Elementary,672.67,551,8720,9271,221,3258,3480,12751,67573,8577004,772,11978
2023 - 2024,SCH,Henrico County Public Schools,Mills E. Godwin High,1691.72,492,8640,9132,221,3258,3480,12612,209817,21335718,713,11898
