Provisionally Licensed,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Division,School,Level,Poverty Level,Special Education Percent,Provisional Percent,Title 1 Code,y,x10
2023 - 2024,Arlington County Public Schools,Washington-Liberty High,SCH,Low Poverty,2.5,13.7,5,28,Non-Title I
2023 - 2024,Arlington County Public Schools,Williamsburg Middle,SCH,Low Poverty,1.4,9.9,1,7,All Schools
2023 - 2024,Arlington County Public Schools,Williamsburg Middle,SCH,Low Poverty,1.4,9.9,1,7,Non-Title I
2023 - 2024,Arlington County Public Schools,Yorktown High,SCH,Low Poverty,0.6,5.6,1,10,All Schools
2023 - 2024,Arlington County Public Schools,Yorktown High,SCH,Low Poverty,0.6,5.6,1,10,Non-Title I
2023 - 2024,Augusta County Public Schools,Buffalo Gap High,SCH,Medium Poverty,2.2,15.6,1,7,All Schools
2023 - 2024,Augusta County Public Schools,Buffalo Gap High,SCH,Medium Poverty,2.2,15.6,1,7,Non-Title I
2023 - 2024,Augusta County Public Schools,Cassell Elementary,SCH,Medium Poverty,0,4.3,0,2,All Schools
2023 - 2024,Augusta County Public Schools,Cassell Elementary,SCH,Medium Poverty,0,4.3,0,2,Title I
2023 - 2024,Augusta County Public Schools,Churchville Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Augusta County Public Schools,Churchville Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Augusta County Public Schools,Craigsville Elementary,SCH,Medium Poverty,10.5,26.3,2,5,All Schools
2023 - 2024,Augusta County Public Schools,Craigsville Elementary,SCH,Medium Poverty,10.5,26.3,2,5,Title I
2023 - 2024,Augusta County Public Schools,Edward G. Clymore Elementary,SCH,Medium Poverty,0,0,0,0,All Schools
2023 - 2024,Augusta County Public Schools,Edward G. Clymore Elementary,SCH,Medium Poverty,0,0,0,0,Title I
2023 - 2024,Augusta County Public Schools,Fort Defiance High,SCH,Medium Poverty,3.2,6.5,2,4,All Schools
2023 - 2024,Augusta County Public Schools,Fort Defiance High,SCH,Medium Poverty,3.2,6.5,2,4,Non-Title I
2023 - 2024,Augusta County Public Schools,Guy K. Stump Elementary,SCH,Medium Poverty,2.9,2.9,1,1,All Schools
2023 - 2024,Augusta County Public Schools,Guy K. Stump Elementary,SCH,Medium Poverty,2.9,2.9,1,1,Title I
2023 - 2024,Augusta County Public Schools,North River Elementary,SCH,Medium Poverty,0,9.1,0,2,All Schools
2023 - 2024,Augusta County Public Schools,North River Elementary,SCH,Medium Poverty,0,9.1,0,2,Title I
2023 - 2024,Augusta County Public Schools,Riverheads Elementary,SCH,Medium Poverty,0,2,0,1,All Schools
2023 - 2024,Augusta County Public Schools,Riverheads Elementary,SCH,Medium Poverty,0,2,0,1,Title I
2023 - 2024,Augusta County Public Schools,Riverheads High,SCH,Medium Poverty,2.4,9.5,1,4,All Schools
