Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Scott County Public Schools,Gate City High,SCH,25.2
2023 - 2024,Scott County Public Schools,Gate City Middle,SCH,30.7
2023 - 2024,Scott County Public Schools,Hilton Elementary,SCH,51.2
2023 - 2024,Scott County Public Schools,Nickelsville Elementary,SCH,49.8
2023 - 2024,Scott County Public Schools,Rye Cove High,SCH,44.6
2023 - 2024,Scott County Public Schools,Rye Cove Intermediate,SCH,52.4
2023 - 2024,Scott County Public Schools,Shoemaker Elementary,SCH,54.3
2023 - 2024,Scott County Public Schools,Twin Springs High,SCH,44.6
2023 - 2024,Scott County Public Schools,Weber City Elementary,SCH,39.8
2023 - 2024,Scott County Public Schools,Yuma Elementary,SCH,46
2023 - 2024,Shenandoah County Public Schools,Ashby-Lee Elementary,SCH,54.9
2023 - 2024,Shenandoah County Public Schools,Central High,SCH,13.7
2023 - 2024,Shenandoah County Public Schools,North Fork Middle,SCH,31.2
2023 - 2024,Shenandoah County Public Schools,Peter Muhlenberg Middle,SCH,23.7
2023 - 2024,Shenandoah County Public Schools,Sandy Hook Elementary,SCH,24.1
2023 - 2024,Shenandoah County Public Schools,Signal Knob Middle,SCH,28.2
2023 - 2024,Shenandoah County Public Schools,Stonewall Jackson High,SCH,25.1
2023 - 2024,Shenandoah County Public Schools,Strasburg High,SCH,30.4
2023 - 2024,Shenandoah County Public Schools,W.W. Robinson Elementary,SCH,32.3
2023 - 2024,Smyth County Public Schools,Atkins Elementary,SCH,62.9
2023 - 2024,Smyth County Public Schools,Chilhowie Elementary,SCH,47.1
2023 - 2024,Smyth County Public Schools,Chilhowie High,SCH,11.2
2023 - 2024,Smyth County Public Schools,Chilhowie Middle,SCH,20.9
2023 - 2024,Smyth County Public Schools,Marion Elementary,SCH,51.9
2023 - 2024,Smyth County Public Schools,Marion Middle,SCH,30.3
2023 - 2024,Smyth County Public Schools,Marion Senior High,SCH,37.5
2023 - 2024,Smyth County Public Schools,Northwood High,SCH,55.4
2023 - 2024,Smyth County Public Schools,Northwood Middle,SCH,48
2023 - 2024,Smyth County Public Schools,Oak Point Elementary,SCH,64.1
2023 - 2024,Smyth County Public Schools,Rich Valley Elementary,SCH,63.3
2023 - 2024,Smyth County Public Schools,Saltville Elementary,SCH,73
2023 - 2024,Smyth County Public Schools,Sugar Grove Elementary,SCH,78.8
2023 - 2024,Southampton County Public Schools,Capron Elementary,SCH,78.5
2023 - 2024,Southampton County Public Schools,Meherrin Elementary,SCH,88.4
2023 - 2024,Southampton County Public Schools,Nottoway Elementary,SCH,77.5
2023 - 2024,Southampton County Public Schools,Riverdale Elementary,SCH,61.7
2023 - 2024,Southampton County Public Schools,Southampton High,SCH,30
2023 - 2024,Southampton County Public Schools,Southampton Middle,SCH,43.1
2023 - 2024,Spotsylvania County Public Schools,Battlefield Elementary,SCH,51.9
2023 - 2024,Spotsylvania County Public Schools,Battlefield Middle,SCH,43.7
2023 - 2024,Spotsylvania County Public Schools,Berkeley Elementary,SCH,55.6
2023 - 2024,Spotsylvania County Public Schools,Brock Road Elementary,SCH,49.2
2023 - 2024,Spotsylvania County Public Schools,Cedar Forest Elementary,SCH,54.2
2023 - 2024,Spotsylvania County Public Schools,Chancellor Elementary,SCH,33.1
2023 - 2024,Spotsylvania County Public Schools,Chancellor High,SCH,16.7
2023 - 2024,Spotsylvania County Public Schools,Chancellor Middle,SCH,45.5
2023 - 2024,Spotsylvania County Public Schools,Courthouse Road Elementary,SCH,46.6
2023 - 2024,Spotsylvania County Public Schools,Courtland Elementary,SCH,41.5
2023 - 2024,Spotsylvania County Public Schools,Courtland High,SCH,15.8
2023 - 2024,Spotsylvania County Public Schools,Freedom Middle,SCH,28.2
2023 - 2024,Spotsylvania County Public Schools,Harrison Road Elementary,SCH,59.2
2023 - 2024,Spotsylvania County Public Schools,Lee Hill Elementary,SCH,60.7
2023 - 2024,Spotsylvania County Public Schools,Livingston Elementary,SCH,53.6
2023 - 2024,Spotsylvania County Public Schools,Massaponax High,SCH,20.9
2023 - 2024,Spotsylvania County Public Schools,Ni River Middle,SCH,64.2
2023 - 2024,Spotsylvania County Public Schools,Parkside Elementary,SCH,44.5
2023 - 2024,Spotsylvania County Public Schools,Post Oak Middle,SCH,57.9
2023 - 2024,Spotsylvania County Public Schools,Riverbend High ,SCH,16.8
2023 - 2024,Spotsylvania County Public Schools,Riverview Elementary,SCH,63.5
2023 - 2024,Spotsylvania County Public Schools,Salem Elementary,SCH,63.6
2023 - 2024,Spotsylvania County Public Schools,Smith Station Elementary,SCH,67.5
2023 - 2024,Spotsylvania County Public Schools,Spotswood Elementary,SCH,60.2
2023 - 2024,Spotsylvania County Public Schools,Spotsylvania Elementary,SCH,48.8
2023 - 2024,Spotsylvania County Public Schools,Spotsylvania High,SCH,21.8
2023 - 2024,Spotsylvania County Public Schools,Spotsylvania Middle,SCH,36.7
2023 - 2024,Spotsylvania County Public Schools,Thornburg Middle,SCH,59.5
2023 - 2024,Spotsylvania County Public Schools,Wilderness Elementary,SCH,58.2
2023 - 2024,Stafford County Public Schools,Andrew G. Wright Middle,SCH,24
2023 - 2024,Stafford County Public Schools,Anne E. Moncure Elementary,SCH,56.3
2023 - 2024,Stafford County Public Schools,Anthony Burns Elementary,SCH,61.5
2023 - 2024,Stafford County Public Schools,Brooke Point High,SCH,28.7
2023 - 2024,Stafford County Public Schools,Colonial Forge High,SCH,25.7
2023 - 2024,Stafford County Public Schools,Conway Elementary,SCH,55.8
2023 - 2024,Stafford County Public Schools,Donald B. Dixon-Lyle R. Smith Middle,SCH,32.4
2023 - 2024,Stafford County Public Schools,Edward E. Drew Jr. Middle,SCH,45.3
2023 - 2024,Stafford County Public Schools,Falmouth Elementary,SCH,66
2023 - 2024,Stafford County Public Schools,Ferry Farm Elementary,SCH,44.1
2023 - 2024,Stafford County Public Schools,Garrisonville Elementary,SCH,55.8
2023 - 2024,Stafford County Public Schools,Grafton Village Elementary,SCH,32.9
2023 - 2024,Stafford County Public Schools,H.H. Poole Middle,SCH,44
2023 - 2024,Stafford County Public Schools,Hampton Oaks Elementary,SCH,46.7
2023 - 2024,Stafford County Public Schools,Hartwood Elementary,SCH,50.3
2023 - 2024,Stafford County Public Schools,Kate Waller Barrett Elementary,SCH,59.9
2023 - 2024,Stafford County Public Schools,Margaret Brent Elementary ,SCH,46.7
2023 - 2024,Stafford County Public Schools,Mountain View High ,SCH,22.9
2023 - 2024,Stafford County Public Schools,North Stafford High,SCH,26.4
2023 - 2024,Stafford County Public Schools,Park Ridge Elementary,SCH,44.4
2023 - 2024,Stafford County Public Schools,Rockhill Elementary,SCH,41.3
2023 - 2024,Stafford County Public Schools,Rocky Run Elementary,SCH,65.9
2023 - 2024,Stafford County Public Schools,Rodney E. Thompson Middle,SCH,34.9
2023 - 2024,Stafford County Public Schools,Shirley C. Heim Middle,SCH,45.8
2023 - 2024,Stafford County Public Schools,Stafford Elementary,SCH,43
2023 - 2024,Stafford County Public Schools,Stafford Middle,SCH,44.9
2023 - 2024,Stafford County Public Schools,Stafford Senior High,SCH,27.1
2023 - 2024,Stafford County Public Schools,T. Benton Gayle Middle,SCH,40.5
2023 - 2024,Stafford County Public Schools,Widewater Elementary,SCH,71.9
2023 - 2024,Stafford County Public Schools,Winding Creek Elementary,SCH,56.4
2023 - 2024,Staunton City Public Schools,Arthur R. Ware Elementary,SCH,46.3
2023 - 2024,Staunton City Public Schools,Bessie Weller Elementary,SCH,93.7
2023 - 2024,Staunton City Public Schools,Shelburne Middle,SCH,42
2023 - 2024,Staunton City Public Schools,Staunton High,SCH,27.3
2023 - 2024,Staunton City Public Schools,Thomas C. McSwain Elementary,SCH,88.8
2023 - 2024,Suffolk City Public Schools,Booker T. Washington Elementary,SCH,75.6
2023 - 2024,Suffolk City Public Schools,Colonel Fred Cherry Middle,SCH,46.9
2023 - 2024,Suffolk City Public Schools,Creekside Elementary,SCH,73.2
2023 - 2024,Suffolk City Public Schools,Elephant's Fork Elementary,SCH,68.8
2023 - 2024,Suffolk City Public Schools,Florence Bowser Elementary,SCH,62.8
2023 - 2024,Suffolk City Public Schools,Forest Glen Middle,SCH,34.5
2023 - 2024,Suffolk City Public Schools,Hillpoint Elementary,SCH,72.9
2023 - 2024,Suffolk City Public Schools,John F. Kennedy Middle,SCH,46.5
2023 - 2024,Suffolk City Public Schools,John Yeates Middle,SCH,38.7
2023 - 2024,Suffolk City Public Schools,Kilby Shores Elementary,SCH,65.4
2023 - 2024,Suffolk City Public Schools,King's Fork High,SCH,24.6
2023 - 2024,Suffolk City Public Schools,King's Fork Middle,SCH,52.5
2023 - 2024,Suffolk City Public Schools,Lakeland High,SCH,22.9
2023 - 2024,Suffolk City Public Schools,Mack Benn Jr. Elementary,SCH,75.8
2023 - 2024,Suffolk City Public Schools,Nansemond Parkway Elementary,SCH,73.6
2023 - 2024,Suffolk City Public Schools,Nansemond River High,SCH,22.2
2023 - 2024,Suffolk City Public Schools,Northern Shores Elementary,SCH,58.9
2023 - 2024,Suffolk City Public Schools,Oakland Elementary,SCH,66.5
2023 - 2024,Suffolk City Public Schools,Southwestern Elementary,SCH,59.8
2023 - 2024,Surry County Public Schools,Luther P. Jackson Middle,SCH,63.9
2023 - 2024,Surry County Public Schools,Surry County High,SCH,24.5
2023 - 2024,Surry County Public Schools,Surry Elementary,SCH,82
2023 - 2024,Sussex County Public Schools,Sussex Central Elementary,SCH,77.6
2023 - 2024,Sussex County Public Schools,Sussex Central High,SCH,35.6
2023 - 2024,Sussex County Public Schools,Sussex Central Middle,SCH,77.1
2023 - 2024,Tazewell County Public Schools,Abb's Valley-Boissevain Elementary,SCH,76.5
2023 - 2024,Tazewell County Public Schools,Cedar Bluff Elementary,SCH,49.9
2023 - 2024,Tazewell County Public Schools,Dudley Primary,SCH,49.1
2023 - 2024,Tazewell County Public Schools,Graham High,SCH,32.6
2023 - 2024,Tazewell County Public Schools,Graham Intermediate,SCH,52.5
2023 - 2024,Tazewell County Public Schools,Graham Middle,SCH,31.3
2023 - 2024,Tazewell County Public Schools,Richlands Elementary,SCH,62.1
2023 - 2024,Tazewell County Public Schools,Richlands High,SCH,25
2023 - 2024,Tazewell County Public Schools,Richlands Middle,SCH,34.6
2023 - 2024,Tazewell County Public Schools,Tazewell High,SCH,29
2023 - 2024,Tazewell County Public Schools,Tazewell Intermediate,SCH,60.3
2023 - 2024,Tazewell County Public Schools,Tazewell Middle,SCH,69.3
2023 - 2024,Tazewell County Public Schools,Tazewell Primary,SCH,70.9
2023 - 2024,Virginia Beach City Public Schools,Alanton Elementary,SCH,28.8
2023 - 2024,Virginia Beach City Public Schools,Arrowhead Elementary,SCH,55.2
2023 - 2024,Virginia Beach City Public Schools,Bayside 6th Grade Campus,SCH,56.6
2023 - 2024,Virginia Beach City Public Schools,Bayside Elementary,SCH,68.3
2023 - 2024,Virginia Beach City Public Schools,Bayside High,SCH,19.6
2023 - 2024,Virginia Beach City Public Schools,Bayside Middle,SCH,58.8
2023 - 2024,Virginia Beach City Public Schools,Birdneck Elementary,SCH,64.1
2023 - 2024,Virginia Beach City Public Schools,Brandon Middle,SCH,29.5
2023 - 2024,Virginia Beach City Public Schools,Brookwood Elementary,SCH,62.8
2023 - 2024,Virginia Beach City Public Schools,Centerville Elementary,SCH,42.4
2023 - 2024,Virginia Beach City Public Schools,Christopher Farms Elementary,SCH,48.8
2023 - 2024,Virginia Beach City Public Schools,College Park Elementary,SCH,70.7
2023 - 2024,Virginia Beach City Public Schools,Corporate Landing Elementary,SCH,38.3
2023 - 2024,Virginia Beach City Public Schools,Corporate Landing Middle,SCH,27.5
2023 - 2024,Virginia Beach City Public Schools,Creeds Elementary,SCH,21.6
2023 - 2024,Virginia Beach City Public Schools,Diamond Springs Elementary,SCH,75.5
2023 - 2024,Virginia Beach City Public Schools,Fairfield Elementary,SCH,52.9
2023 - 2024,Virginia Beach City Public Schools,First Colonial High,SCH,18.4
2023 - 2024,Virginia Beach City Public Schools,Floyd Kellam High,SCH,18.3
2023 - 2024,Virginia Beach City Public Schools,Frank W. Cox High,SCH,16.8
2023 - 2024,Virginia Beach City Public Schools,Glenwood Elementary,SCH,46.4
2023 - 2024,Virginia Beach City Public Schools,Great Neck Middle,SCH,23.5
2023 - 2024,Virginia Beach City Public Schools,Green Run Collegiate,SCH,20.6
2023 - 2024,Virginia Beach City Public Schools,Green Run Elementary,SCH,52
2023 - 2024,Virginia Beach City Public Schools,Green Run High,SCH,15.3
2023 - 2024,Virginia Beach City Public Schools,Hermitage Elementary,SCH,30.7
2023 - 2024,Virginia Beach City Public Schools,Holland Elementary,SCH,70.3
2023 - 2024,Virginia Beach City Public Schools,Independence Middle,SCH,25.8
2023 - 2024,Virginia Beach City Public Schools,Indian Lakes Elementary,SCH,58.6
2023 - 2024,Virginia Beach City Public Schools,John B. Dey Elementary,SCH,27.6
2023 - 2024,Virginia Beach City Public Schools,Kempsville Elementary,SCH,49
2023 - 2024,Virginia Beach City Public Schools,Kempsville High,SCH,18.7
2023 - 2024,Virginia Beach City Public Schools,Kempsville Meadows Elementary,SCH,66.3
2023 - 2024,Virginia Beach City Public Schools,Kempsville Middle,SCH,21.6
2023 - 2024,Virginia Beach City Public Schools,King's Grant Elementary,SCH,55.6
2023 - 2024,Virginia Beach City Public Schools,Kingston Elementary,SCH,17
2023 - 2024,Virginia Beach City Public Schools,Landstown Elementary,SCH,55.5
2023 - 2024,Virginia Beach City Public Schools,Landstown High,SCH,21.2
2023 - 2024,Virginia Beach City Public Schools,Landstown Middle,SCH,32.4
2023 - 2024,Virginia Beach City Public Schools,Larkspur Middle,SCH,56.4
2023 - 2024,Virginia Beach City Public Schools,Linkhorn Park Elementary,SCH,40.5
2023 - 2024,Virginia Beach City Public Schools,Luxford Elementary,SCH,50.3
2023 - 2024,Virginia Beach City Public Schools,Lynnhaven Elementary,SCH,70.9
2023 - 2024,Virginia Beach City Public Schools,Lynnhaven Middle,SCH,19.5
2023 - 2024,Virginia Beach City Public Schools,Malibu Elementary,SCH,49.1
2023 - 2024,Virginia Beach City Public Schools,New Castle Elementary,SCH,34.3
2023 - 2024,Virginia Beach City Public Schools,Newtown Elementary,SCH,70.1
2023 - 2024,Virginia Beach City Public Schools,North Landing Elementary,SCH,8.2
2023 - 2024,Virginia Beach City Public Schools,Ocean Lakes Elementary,SCH,32.4
2023 - 2024,Virginia Beach City Public Schools,Ocean Lakes High,SCH,18.9
2023 - 2024,Virginia Beach City Public Schools,Old Donation School,SCH,14.3
2023 - 2024,Virginia Beach City Public Schools,Parkway Elementary,SCH,69.6
2023 - 2024,Virginia Beach City Public Schools,Pembroke Elementary,SCH,57.4
2023 - 2024,Virginia Beach City Public Schools,Pembroke Meadows Elementary,SCH,46.5
2023 - 2024,Virginia Beach City Public Schools,Plaza Middle,SCH,40.7
2023 - 2024,Virginia Beach City Public Schools,Point O' View Elementary,SCH,64.8
2023 - 2024,Virginia Beach City Public Schools,Princess Anne Elementary,SCH,11.3
2023 - 2024,Virginia Beach City Public Schools,Princess Anne High,SCH,16.2
2023 - 2024,Virginia Beach City Public Schools,Princess Anne Middle,SCH,21.6
2023 - 2024,Virginia Beach City Public Schools,Providence Elementary,SCH,48.7
2023 - 2024,Virginia Beach City Public Schools,Red Mill Elementary,SCH,25
2023 - 2024,Virginia Beach City Public Schools,Rosemont Elementary,SCH,65
2023 - 2024,Virginia Beach City Public Schools,Rosemont Forest Elementary,SCH,29.5
2023 - 2024,Virginia Beach City Public Schools,Salem Elementary,SCH,48.7
2023 - 2024,Virginia Beach City Public Schools,Salem High,SCH,21.8
2023 - 2024,Virginia Beach City Public Schools,Salem Middle,SCH,19.8
2023 - 2024,Virginia Beach City Public Schools,Seatack Elementary an Achievable Dream Academy,SCH,75.4
2023 - 2024,Virginia Beach City Public Schools,Shelton Park Elementary,SCH,60.2
2023 - 2024,Virginia Beach City Public Schools,Strawbridge Elementary,SCH,33.7
2023 - 2024,Virginia Beach City Public Schools,Tallwood Elementary,SCH,44.5
2023 - 2024,Virginia Beach City Public Schools,Tallwood High,SCH,27.4
2023 - 2024,Virginia Beach City Public Schools,Thalia Elementary,SCH,63.2
2023 - 2024,Virginia Beach City Public Schools,Thoroughgood Elementary,SCH,16
2023 - 2024,Virginia Beach City Public Schools,Three Oaks Elementary,SCH,36.4
2023 - 2024,Virginia Beach City Public Schools,Trantwood Elementary,SCH,38.4
2023 - 2024,Virginia Beach City Public Schools,Virginia Beach Middle,SCH,26.6
2023 - 2024,Virginia Beach City Public Schools,W.T. Cooke Elementary,SCH,44.3
2023 - 2024,Virginia Beach City Public Schools,White Oaks Elementary,SCH,56.6
2023 - 2024,Virginia Beach City Public Schools,Williams Elementary,SCH,62.4
2023 - 2024,Virginia Beach City Public Schools,Windsor Oaks Elementary,SCH,65.1
2023 - 2024,Virginia Beach City Public Schools,Windsor Woods Elementary,SCH,53.1
2023 - 2024,Virginia Beach City Public Schools,Woodstock Elementary,SCH,56.4
2023 - 2024,Warren County Public Schools,A.S. Rhodes Elementary,SCH,49.2
2023 - 2024,Warren County Public Schools,E. Wilson Morrison Elementary,SCH,67.8
2023 - 2024,Warren County Public Schools,Hilda J. Barbour Elementary,SCH,65.6
2023 - 2024,Warren County Public Schools,Leslie Fox Keyser Elementary,SCH,56.9
2023 - 2024,Warren County Public Schools,Ressie Jeffries Elementary,SCH,52.1
2023 - 2024,Warren County Public Schools,Skyline High,SCH,59.6
2023 - 2024,Warren County Public Schools,Skyline Middle,SCH,81.1
2023 - 2024,Warren County Public Schools,Warren County High,SCH,50.8
2023 - 2024,Warren County Public Schools,Warren County Middle,SCH,84.3
2023 - 2024,Washington County Public Schools,Abingdon Elementary,SCH,48.8
2023 - 2024,Washington County Public Schools,Abingdon High,SCH,21.2
2023 - 2024,Washington County Public Schools,Damascus Middle,SCH,54.2
2023 - 2024,Washington County Public Schools,E.B. Stanley Middle,SCH,49.2
2023 - 2024,Washington County Public Schools,Glade Spring Middle,SCH,43.2
2023 - 2024,Washington County Public Schools,Greendale Elementary,SCH,62.6
2023 - 2024,Washington County Public Schools,High Point Elementary,SCH,36.6
2023 - 2024,Washington County Public Schools,Holston High,SCH,50.9
2023 - 2024,Washington County Public Schools,John S. Battle High,SCH,15.3
2023 - 2024,Washington County Public Schools,Meadowview Elementary,SCH,58.4
2023 - 2024,Washington County Public Schools,Patrick Henry High,SCH,33.4
2023 - 2024,Washington County Public Schools,Rhea Valley Elementary,SCH,62.9
2023 - 2024,Washington County Public Schools,Valley Institute Elementary,SCH,49.4
2023 - 2024,Washington County Public Schools,Wallace Middle,SCH,27.9
2023 - 2024,Washington County Public Schools,Watauga Elementary,SCH,48.6
2023 - 2024,Waynesboro City Public Schools,Berkeley Glenn Elementary ,SCH,54.9
2023 - 2024,Waynesboro City Public Schools,Kate Collins Middle ,SCH,33.8
2023 - 2024,Waynesboro City Public Schools,Waynesboro High ,SCH,39.1
2023 - 2024,Waynesboro City Public Schools,Wenonah Elementary ,SCH,82.4
2023 - 2024,Waynesboro City Public Schools,Westwood Hills Elementary ,SCH,62.9
2023 - 2024,Waynesboro City Public Schools,William Perry Elementary ,SCH,67.3
2023 - 2024,West Point Public Schools,West Point Elementary,SCH,47.7
2023 - 2024,West Point Public Schools,West Point Middle/High,SCH,49.1
2023 - 2024,Westmoreland County Public Schools,Cople Elementary,SCH,79.7
2023 - 2024,Westmoreland County Public Schools,Montross Middle,SCH,44.6
2023 - 2024,Westmoreland County Public Schools,Washington District Elementary,SCH,64.5
2023 - 2024,Westmoreland County Public Schools,Westmoreland High,SCH,39.4
2023 - 2024,Williamsburg-James City County Public Schools,Berkeley Middle,SCH,32.2
2023 - 2024,Williamsburg-James City County Public Schools,Clara Byrd Baker Elementary,SCH,52.8
2023 - 2024,Williamsburg-James City County Public Schools,D.J. Montague Elementary,SCH,42
2023 - 2024,Williamsburg-James City County Public Schools,J. Blaine Blayton Elementary,SCH,48.1
2023 - 2024,Williamsburg-James City County Public Schools,James Blair Middle,SCH,22.9
2023 - 2024,Williamsburg-James City County Public Schools,James River Elementary,SCH,46.5
2023 - 2024,Williamsburg-James City County Public Schools,Jamestown High,SCH,14
2023 - 2024,Williamsburg-James City County Public Schools,Lafayette High,SCH,10.9
2023 - 2024,Williamsburg-James City County Public Schools,Laurel Lane Elementary,SCH,47.2
2023 - 2024,Williamsburg-James City County Public Schools,Lois Hornsby Middle,SCH,41.3
2023 - 2024,Williamsburg-James City County Public Schools,Matoaka Elementary,SCH,72.9
2023 - 2024,Williamsburg-James City County Public Schools,Matthew Whaley Elementary,SCH,77.4
2023 - 2024,Williamsburg-James City County Public Schools,Norge Elementary,SCH,59.9
2023 - 2024,Williamsburg-James City County Public Schools,Stonehouse Elementary,SCH,38.2
2023 - 2024,Williamsburg-James City County Public Schools,Toano Middle,SCH,31.6
2023 - 2024,Williamsburg-James City County Public Schools,Warhill High,SCH,13.2
2023 - 2024,Winchester City Public Schools,Daniel Morgan Intermediate,SCH,44.2
2023 - 2024,Winchester City Public Schools,Daniel Morgan Middle,SCH,37.3
2023 - 2024,Winchester City Public Schools,Frederick Douglass Elementary,SCH,49.1
2023 - 2024,Winchester City Public Schools,Garland R. Quarles Elementary,SCH,46.1
2023 - 2024,Winchester City Public Schools,John Handley High,SCH,21.4
2023 - 2024,Winchester City Public Schools,John Kerr Elementary,SCH,61.9
2023 - 2024,Winchester City Public Schools,Virginia Avenue Charlotte Dehart Elementary ,SCH,70.8
2023 - 2024,Wise County Public Schools,Central High,SCH,29.9
2023 - 2024,Wise County Public Schools,Coeburn Middle,SCH,44.2
2023 - 2024,Wise County Public Schools,Coeburn Primary,SCH,52.3
2023 - 2024,Wise County Public Schools,Eastside High,SCH,20.2
2023 - 2024,Wise County Public Schools,J.W. Adams Combined,SCH,55.8
2023 - 2024,Wise County Public Schools,L.F. Addington Middle,SCH,32.6
2023 - 2024,Wise County Public Schools,St. Paul Elementary,SCH,47.9
2023 - 2024,Wise County Public Schools,Union High,SCH,24.8
2023 - 2024,Wise County Public Schools,Union Middle,SCH,38.2
2023 - 2024,Wise County Public Schools,Union Primary,SCH,68.1
2023 - 2024,Wise County Public Schools,Wise Primary,SCH,47.1
2023 - 2024,Wythe County Public Schools,Fort Chiswell High,SCH,47.5
2023 - 2024,Wythe County Public Schools,Fort Chiswell Middle,SCH,56
2023 - 2024,Wythe County Public Schools,George Wythe High,SCH,50
2023 - 2024,Wythe County Public Schools,Jackson Memorial Elementary,SCH,60.1
2023 - 2024,Wythe County Public Schools,Max Meadows Elementary,SCH,61.2
2023 - 2024,Wythe County Public Schools,Rural Retreat Elementary,SCH,45.6
2023 - 2024,Wythe County Public Schools,Rural Retreat High,SCH,64.8
2023 - 2024,Wythe County Public Schools,Rural Retreat Middle,SCH,56.5
2023 - 2024,Wythe County Public Schools,Scott Memorial Middle,SCH,56.7
2023 - 2024,Wythe County Public Schools,Sheffey Elementary,SCH,72.1
2023 - 2024,Wythe County Public Schools,Speedwell Elementary,SCH,66.7
2023 - 2024,Wythe County Public Schools,Spiller Elementary,SCH,47.6
2023 - 2024,York County Public Schools,Bethel Manor Elementary,SCH,48.2
2023 - 2024,York County Public Schools,Bruton High,SCH,11.7
2023 - 2024,York County Public Schools,Coventry Elementary,SCH,31.1
2023 - 2024,York County Public Schools,Dare Elementary,SCH,38.4
2023 - 2024,York County Public Schools,Grafton Bethel Elementary,SCH,35.9
2023 - 2024,York County Public Schools,Grafton High,SCH,21.5
2023 - 2024,York County Public Schools,Magruder Elementary,SCH,46.5
2023 - 2024,York County Public Schools,Mount Vernon Elementary ,SCH,26.8
2023 - 2024,York County Public Schools,Queens Lake Middle,SCH,36.1
2023 - 2024,York County Public Schools,Seaford Elementary,SCH,34.9
2023 - 2024,York County Public Schools,Tabb Elementary,SCH,32.5
2023 - 2024,York County Public Schools,Tabb High,SCH,11.9
2023 - 2024,York County Public Schools,Tabb Middle,SCH,23.1
2023 - 2024,York County Public Schools,Waller Mill Elementary,SCH,39
2023 - 2024,York County Public Schools,York High,SCH,6.5
2023 - 2024,York County Public Schools,Yorktown Elementary,SCH,58.7
2023 - 2024,York County Public Schools,Yorktown Middle,SCH,32.2
